Reporter Countries,Partner Countries,Value
United States of America,Algeria,179324
United States of America,Argentina,58.64
United States of America,Bahamas,104
United States of America,Bangladesh,213423
United States of America,Barbados,8844
United States of America,Belgium,9499
United States of America,Belize,13274
United States of America,Benin,92
United States of America,Brazil,89298
United States of America,Canada,192467.96
United States of America,Chile,127570
United States of America,"China, Hong Kong SAR",3102.52
United States of America,"China, mainland",2738215
United States of America,"China, Taiwan Province of",951269
United States of America,Colombia,666785
United States of America,Costa Rica,42064
United States of America,Djibouti,121320
United States of America,Dominican Republic,359791
United States of America,Ecuador,280729
United States of America,Egypt,152947
United States of America,El Salvador,170780
United States of America,Ethiopia,311010
United States of America,France,400
United States of America,Georgia,42000
United States of America,Greece,54.62
United States of America,Grenada,13753
United States of America,Guatemala,236085
United States of America,Guyana,37013
United States of America,Haiti,146833.1
United States of America,Honduras,298092
United States of America,Indonesia,324216.57
United States of America,Iraq,120.97
United States of America,Israel,140
United States of America,Italy,314801
United States of America,Jamaica,182162
United States of America,Japan,2233209.85
United States of America,Jordan,1.66
United States of America,Kenya,90939.66
United States of America,Kuwait,280
United States of America,Malaysia,221553
United States of America,Mexico,4159731.44
United States of America,Morocco,81695
United States of America,Mozambique,13200
United States of America,Myanmar,55484
United States of America,Namibia,8800
United States of America,Nicaragua,70432
United States of America,Nigeria,1682175
United States of America,Panama,141186
United States of America,Peru,217508
United States of America,Philippines,2806644
United States of America,Portugal,8605
United States of America,Qatar,25.03
United States of America,Republic of Korea,1725778
United States of America,Saint Lucia,6600
United States of America,Saint Vincent and the Grenadines,23131
United States of America,Saudi Arabia,350.96
United States of America,Singapore,62218
United States of America,South Africa,32400
United States of America,Sri Lanka,59369
United States of America,Sudan,253000
United States of America,Thailand,628321.24
United States of America,Trinidad and Tobago,98112.26
United States of America,Tunisia,27000
United States of America,United Arab Emirates,56804.68
United States of America,United Kingdom of Great Britain and Northern Ireland,242
United States of America,Venezuela (Bolivarian Republic of),315393
United States of America,Viet Nam,189718
United States of America,Yemen,516120
